gbifID,year,locality,decimalLatitude,decimalLongitude,individualCount,sex,associatedReferences,identifiedBy,basisOfRecord,scientificName,source,jitter_seed,lat_jitter,lon_jitter,locality_norm,ref_lat,ref_lon,notes,distance_to_ref,contentious
4941308579,1968,Puerto de Leitariegos,43.007,-6.362,1,NA,54_Wood_etal_7101_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Leitariegos,42.998381,-6.417662,Google Maps_manual,4.6,OK
4941308410,NA,NA,43.01,-6.48,1,NA,i1_Gbif_6229_NA,NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941308245,1966,Puerto de San Glorio,43.024,-4.78,1,NA,54_Wood_etal_6271_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de San Glorio,43.066884,-4.765728,Google Maps_manual,4.9,OK
4941308239,NA,Fuente Dé,43.114,-4.782,1,NA,"54_Wood_etal_594_Ornosa, Uicn",NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Fuente De,NA,NA,NA,NA,OK
4941308107,NA,Puerto de las Senales,43.2,-5.031,1,NA,"54_Wood_etal_598_Ornosa, Uicn",NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de las Senales,43.075495,-5.243387,Google Maps_manual,22.1,Location mismatch >10km
4941308031,2015,NA,43.108,-5.151,1,NA,"54_Wood_etal_40860_Gbif,2015",NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941307937,1968,Puerto de Tarna,43.105,-5.274,1,NA,54_Wood_etal_7080_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Tarna,43.084289,-5.217645,Google Maps_manual,5.1,OK
4941307936,1968,Puerto de las Senales,43.105,-5.274,1,NA,54_Wood_etal_7137_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de las Senales,43.075495,-5.243387,Google Maps_manual,4.1,OK
4941307401,1967,Puerto de Pajares,43.004,-5.761,1,NA,54_Wood_etal_6429_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Pajares,42.992931,-5.759654,Google Maps_manual,1.2,OK
4941307037,1984,NA,43.024,-4.78,1,NA,"54_Wood_etal_34423_Castro, 2010",L. Castro,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941306730,1967,Puerto de Tarna,43.105,-5.274,1,NA,54_Wood_etal_6497_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Tarna,43.084289,-5.217645,Google Maps_manual,5.1,OK
4941306729,1968,Puerto de las Senales,43.105,-5.274,1,NA,54_Wood_etal_7085_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de las Senales,43.075495,-5.243387,Google Maps_manual,4.1,OK
4941305865,2015,NA,42.914,-6.243,1,NA,"54_Wood_etal_40852_Gbif,2015",NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941305741,1988,Puerto el Palo,43.007,-6.362,1,NA,"54_Wood_etal_35221_Obeso, 1992",J.R. Obeso,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto el Palo,43.272423,-6.677801,Google Maps_manual,39.1,Location mismatch >10km
4941305390,2015,NA,43.013,-6.607,1,NA,"54_Wood_etal_40856_Gbif,2015",NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941304017,NA,Puerto de Leitariegos,43.007,-6.362,1,NA,"54_Wood_etal_599_Ornosa, Uicn",NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Leitariegos,42.998381,-6.417662,Google Maps_manual,4.6,OK
4941300765,2015,NA,43.01,-6.485,1,NA,"54_Wood_etal_40855_Gbif,2015",NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941298205,NA,Puerto de Aralla,42.825,-5.753,1,NA,"54_Wood_etal_596_Ornosa, Uicn",NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Aralla,42.903926,-5.804721,Google Maps_manual,9.7,OK
4941298201,NA,NA,42.91,-5.76,1,NA,i1_Gbif_6230_NA,NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,NA,NA,NA,NA,NA,OK
4941298194,NA,Puerto de Pajares,43.004,-5.761,1,NA,"54_Wood_etal_600_Ornosa, Uicn",NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Pajares,42.992931,-5.759654,Google Maps_manual,1.2,OK
4941296843,NA,Puerto de Ranadoiro,43.097,-6.358,1,NA,"54_Wood_etal_601_Ornosa, Uicn",NA,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Ranadoiro,42.996811,-6.63489,Google Maps_manual,25.1,Location mismatch >10km
4941296155,1968,Puerto de Ranadoiro,43.285,-6.72,1,NA,54_Wood_etal_7103_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Ranadoiro,42.996811,-6.63489,Google Maps_manual,32.8,Location mismatch >10km
4941287250,1968,Puerto de Ranadoiro,43.285,-6.72,2,NA,54_Wood_etal_7104_Yarrow 1970,P. Rasmont,OCCURRENCE,"Bombus inexspectatus (Tkalcu, 1963)",GBIF,NA,NA,NA,Puerto de Ranadoiro,42.996811,-6.63489,Google Maps_manual,32.8,Location mismatch >10km
NA,1966,NA,43.04709,-5.82374,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1966,NA,43.05288,-6.42154,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1966,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1966,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1966,NA,43.06711,-4.8422,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.05288,-6.42154,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.04709,-5.82374,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.04709,-5.82374,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.04709,-5.82374,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.06711,-4.8422,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.04709,-5.82374,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,42.86721,-6.18447,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.05288,-6.42154,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.04709,-5.82374,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.06711,-4.8422,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1967,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1968,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1968,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1968,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1968,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1968,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1968,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1968,NA,43.04709,-5.82374,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1968,NA,42.86721,-6.18447,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1968,NA,43.05288,-6.42154,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1968,NA,43.23809,-6.66004,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1968,NA,43.23809,-6.66004,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1968,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1968,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1968,NA,43.06289,-5.08768,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1968,NA,43.06711,-4.8422,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1984,NA,43.06711,-4.8422,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1984,NA,43.05815,-5.3331,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1984,NA,42.86721,-5.81553,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1984,NA,43.06711,-4.8422,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1984,NA,43.06711,-4.8422,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1988,NA,43.05288,-6.42154,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1988,NA,43.04709,-6.17626,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1988,NA,43.04709,-6.17626,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,1988,NA,43.05288,-6.42154,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,NA,NA,43.06711,-4.8422,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,NA,NA,42.86721,-6.18447,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,NA,NA,43.05288,-6.42154,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,NA,NA,43.06289,-5.08768,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,NA,NA,43.24286,-5.09382,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,NA,NA,43.04709,-5.82374,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,NA,NA,43.05288,-6.42154,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,NA,NA,42.86721,-5.81553,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
NA,NA,NA,43.40042,-6.01703,1,NA,NA,NA,HUMAN_OBSERVATION,"Bombus inexspectatus (Tkalcu, 1963)",Atlas Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA,OK
